laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight,gpu_brand,cpu_gpu_combination
148481,Acer,Nitro 5 AN515-44,,,,DOS,Both,AMD Radeon Graphics,GeForce GTX 1650,AMD,Ryzen 5,3.0,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.2,NVIDIA,AMD + NVIDIA
148465,Lenovo,Ideapad S540,,,,Windows 10 Home (x64) SL,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 7,1.8,16,SSD,0.0,512.0,13.3,2560 x 1600,WQXGA,1.26,Intel,AMD + Intel
148483,Acer,Aspire A715-75G,,,,DOS,Both,Intel HD Graphics 630,GeForce GTX 1650,Intel,Core i7,2.6,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.8,NVIDIA,Intel + NVIDIA
148464,Lenovo,Legion 5,,,,Windows 10 Home (x64),Both,AMD Radeon Graphics,GeForce GTX 1650 Ti,AMD,Ryzen 7,2.9,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.23,NVIDIA,AMD + NVIDIA
148463,Lenovo,Ideapad Gaming 3,,,,Windows 10 Home (x64),Both,Intel UHD Graphics,GeForce GTX 1650,Intel,Core i5,2.5,8,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.16,NVIDIA,Intel + NVIDIA
148460,Lenovo,Ideapad Gaming 3,,,,DOS,Both,Intel UHD Graphics,GeForce GTX 1650 Ti,Intel,Core i5,2.5,8,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.16,NVIDIA,Intel + NVIDIA
148459,Lenovo,Ideapad Gaming 3,,,,DOS,Both,Intel UHD Graphics,GeForce GTX 1650,Intel,Core i5,2.5,8,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.17,NVIDIA,Intel + NVIDIA
148462,Lenovo,Ideapad Gaming 3,,,,Windows 10 Home (x64),Both,Intel UHD Graphics,GeForce GTX 1650 Ti,Intel,Core i5,2.5,8,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.16,NVIDIA,Intel + NVIDIA
148393,HP,Pavilion x360 14-dw0013ur,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i5,1.0,8,SSD,0.0,512.0,14.0,1920 x 1080,Full HD,1.63,Intel,Intel + Intel
148395,DELL,Inspiron 5490,,,,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.6,8,SSD,0.0,512.0,14.0,1920 x 1080,Full HD,1.36,Intel,Intel + Intel
148396,DELL,Inspiron 5490,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.6,8,SSD,0.0,512.0,14.0,1920 x 1080,Full HD,1.4,NVIDIA,Intel + NVIDIA
148218,Lenovo,V15,,,,DOS,Integrated,Intel UHD Graphics 620,No,Intel,Core i3,2.2,4,HDD,1024.0,0.0,15.6,1920 x 1080,Full HD,1.8,Intel,Intel + Intel
148220,HP,Gaming Pavilion 16-a0004ur,,,,DOS,Both,Intel UHD Graphics,GeForce GTX 1660 Ti Max-Q,Intel,Core i7,2.6,8,SSD,0.0,1024.0,16.1,1920 x 1080,Full HD,2.2,NVIDIA,Intel + NVIDIA
148140,Acer,Predator Triton 500 PT515-52,,,,DOS,Both,Intel UHD Graphics,GeForce RTX 2080 Super,Intel,Core i7,2.6,32,SSD,0.0,2048.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,Intel + NVIDIA
148139,Acer,Predator Triton 500 PT515-52,,,,DOS,Both,Intel UHD Graphics,GeForce RTX 2070,Intel,Core i7,2.6,32,SSD,0.0,2048.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,Intel + NVIDIA
148146,ASUS,VivoBook S533FA,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i5,1.6,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.7,Intel,Intel + Intel
148135,HP,Gaming Pavilion 15-ec1024ur,,,,DOS,Both,AMD Radeon Graphics,GeForce GTX 1650 Ti,AMD,Ryzen 5,3.0,8,SSD,0.0,1024.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,AMD + NVIDIA
148019,Lenovo,Legion 5,,,,Windows 10 Home (x64),Both,Intel UHD Graphics,GeForce GTX 1660 Ti,Intel,Core i5,2.5,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.9,NVIDIA,Intel + NVIDIA
148018,Lenovo,Legion 5,,,,Windows 10 Home (x64),Both,Intel UHD Graphics 630,GeForce GTX 1650 Ti,Intel,Core i5,2.5,8,SSD,0.0,512.0,17.3,1920 x 1080,Full HD,2.9,NVIDIA,Intel + NVIDIA
147978,Acer,Nitro 5 AN515-55,,,,DOS,Both,Intel UHD Graphics,GeForce GTX 1660 Ti,Intel,Core i7,2.6,16,SSD,0.0,1024.0,15.6,1920 x 1080,Full HD,2.3,NVIDIA,Intel + NVIDIA
147830,HP,17-by3034ur,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,4,HDD,1024.0,0.0,17.3,1600 x 900,HD+,2.3,Intel,Intel + Intel
147831,HP,ENVY x360 15-ed0006ur,,,,Windows 10 Home (x64),Both,Intel UHD Graphics,GeForce MX330,Intel,Core i5,1.6,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.9,NVIDIA,Intel + NVIDIA
147910,HP,15-db0477ur,,,,DOS,Integrated,AMD Radeon R4,No,AMD,A-Series,2.6,4,HDD,1024.0,0.0,15.6,1366 x 768,HD,1.8,Intel,AMD + Intel
147918,HP,ProBook 430 G7,,,,Windows 10 Pro (x64),Integrated,Intel UHD Graphics,No,Intel,Core i5,1.6,8,SSD,0.0,256.0,13.3,1920 x 1080,Full HD,1.4,Intel,Intel + Intel
147824,HP,ENVY x360 15-ee0003ur,,,,Windows 10 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,2.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.9,Intel,AMD + Intel
147825,HP,Gaming Pavilion 15-ec1022ur,,,,DOS,Discrete,No,GeForce GTX 1650,AMD,Ryzen 5,3.0,8,SHDD,1024.0,256.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,AMD + NVIDIA
147826,HP,Gaming Pavilion 15-ec1026ur,,,,DOS,Both,AMD Radeon Graphics,GeForce GTX 1650 Ti,AMD,Ryzen 7,2.9,16,SHDD,1024.0,256.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,AMD + NVIDIA
147822,DELL,Inspiron G5-5500,,,,Linux,Both,Intel UHD Graphics,GeForce GTX 1650 Ti,Intel,Core i5,2.5,8,SSD,0.0,1024.0,15.6,1920 x 1080,Full HD,2.4,NVIDIA,Intel + NVIDIA
147823,DELL,Inspiron G5-5500,,,,Linux,Both,Intel UHD Graphics,GeForce GTX 1650 Ti,Intel,Core i7,2.6,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.4,NVIDIA,Intel + NVIDIA
147720,DELL,XPS 15,,,,Windows 10 Home (x64),Both,Intel UHD Graphics 630,GeForce GTX 1650,Intel,Core i7,2.6,16,SSD,0.0,512.0,15.6,3840 x 2160,Ultra HD 4K,2.0,NVIDIA,Intel + NVIDIA
147726,DELL,XPS 13,,,,Windows 10 Home (x64),Integrated,Intel Iris Plus,No,Intel,Core i7,1.3,16,SSD,0.0,512.0,13.4,1920 x 1200,WUXGA,1.3,Intel,Intel + Intel
147678,HP,ProBook 440 G7,,,,Windows 10 Pro (x64),Both,Intel UHD Graphics,GeForce MX130,Intel,Core i5,1.6,8,SSD,0.0,256.0,14.0,1920 x 1080,Full HD,1.55,NVIDIA,Intel + NVIDIA
147652,HP,ENVY x360 15-ee0004ur,,,,Windows 10 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 7,2.0,8,SSD,0.0,1024.0,15.6,1920 x 1080,Full HD,1.91,Intel,AMD + Intel
147679,HP,ProBook 440 G6,,,,DOS,Both,Intel UHD Graphics 620,GeForce MX130,Intel,Core i7,1.8,8,SSD,0.0,256.0,14.0,1920 x 1080,Full HD,1.58,NVIDIA,Intel + NVIDIA
147677,HP,ProBook 440 G7,,,,Windows 10 Pro (x64),Both,Intel UHD Graphics 630,GeForce MX250,Intel,Core i7,1.8,8,SSD,0.0,512.0,14.0,1920 x 1080,Full HD,1.59,NVIDIA,Intel + NVIDIA
147651,HP,Pavilion Gaming 15-dk1018ur,,,,DOS,Both,Intel UHD Graphics 630,GeForce GTX 1650,Intel,Core i5,2.5,8,SHDD,1024.0,256.0,15.6,1920 x 1080,Full HD,2.36,NVIDIA,Intel + NVIDIA
147692,HP,15-db1056ur,,,,Windows 10 Home (x64),Integrated,AMD Radeon Vega 3,No,AMD,Ryzen 3,2.6,4,HDD,1024.0,0.0,15.6,1920 x 1080,Full HD,1.84,Intel,AMD + Intel
147670,HP,ProBook 650 G5,,,,Windows 10 Pro (x64),Integrated,Intel UHD Graphics 620,No,Intel,Core i7,1.8,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.27,Intel,Intel + Intel
147723,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel Iris Plus,No,Intel,Core i7,1.3,16,SSD,0.0,1024.0,13.4,1920 x 1200,WUXGA,1.2,Intel,Intel + Intel
147719,DELL,XPS 13,799900.0,759990.0,4.99,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i5,1.0,8,SSD,0.0,512.0,13.4,1920 x 1200,WUXGA,1.2,Intel,Intel + Intel
147669,HP,EliteBook 830 G6,,,,Windows 10 Pro (x64),Integrated,Intel UHD Graphics 620,No,Intel,Core i5,1.6,8,SSD,0.0,256.0,13.3,1920 x 1080,Full HD,1.44,Intel,Intel + Intel
147675,HP,EliteBook 830 G6,,,,Windows 10 Pro (x64),Integrated,Intel HD Graphics 620,No,Intel,Core i7,1.8,8,SSD,0.0,512.0,13.3,1920 x 1080,Full HD,1.47,Intel,Intel + Intel
147722,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel Iris Plus,No,Intel,Core i7,1.3,16,SSD,0.0,1024.0,13.4,1920 x 1200,WUXGA,1.2,Intel,Intel + Intel
146921,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel UHD Graphics,No,Intel,Core i7,1.1,16,SSD,0.0,1024.0,13.3,3840 x 2160,Ultra HD 4K,1.2,Intel,Intel + Intel
146920,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel UHD Graphics,No,Intel,Core i7,1.1,16,SSD,0.0,512.0,13.3,1920 x 1080,Full HD,1.2,Intel,Intel + Intel
147603,DELL,Vostro 3490,,,,Windows 10 Pro (x64),Both,Intel UHD Graphics,Radeon 610,Intel,Core i7,1.8,8,SSD,0.0,256.0,14.0,1920 x 1080,Full HD,1.6,AMD,Intel + AMD
147602,DELL,Vostro 3490,,,,Linux,Both,Intel UHD Graphics,Radeon 610,Intel,Core i7,1.8,8,SSD,0.0,256.0,14.0,1920 x 1080,Full HD,1.6,AMD,Intel + AMD
147606,DELL,Vostro 3490,,,,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.6,8,SSD,0.0,256.0,14.0,1920 x 1080,Full HD,1.7,Intel,Intel + Intel
147605,DELL,Vostro 3590,,,,Windows 10 Pro (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,2.1,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.9,Intel,Intel + Intel
147546,DELL,Inspiron 3593,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.9,Intel,Intel + Intel
147552,DELL,Inspiron 5593,,,,Linux,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i7,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.8,NVIDIA,Intel + NVIDIA
147545,DELL,Inspiron 3593,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.9,Intel,Intel + Intel
