laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight
169417,ASUS,L510KA/E510,,,,DOS,Integrated,Intel UHD Graphics,No,Intel,Pentium Silver,1.1,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
167796,Lenovo,V15 G2 ALC,,,,DOS,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,2.1,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
169205,ASUS,ROG Strix SCAR 16 G634JY,,,,Windows 11 Pro (x64),Both,Intel UHD Graphics,GeForce RTX 4090,Intel,Core i9,2.2,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.5
169206,ASUS,ROG Zephyrus M16 GU604VZ,,,,Windows 11 Home (x64),Both,Intel Iris Xe Graphics,GeForce RTX 4080,Intel,Core i9,2.6,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.3
163608,HP,ProBook 450 G9,476300.0,447700.0,6.0,DOS,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
169196,Gigabyte,G5 MF-E2KZ333SD,489990.0,469990.0,4.08,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 4050,Intel,Core i5,2.5,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.9
169174,HP,"Spectre x360 16-f1011ci, OLED",,,,Windows 11 Home (x64) SL,Both,Intel Iris Xe Graphics,Intel Arc A370M,Intel,Core i7,2.1,32,SSD,0.0,2048.0,16.0,3840 x 2400,Ultra HD+,1.9
169168,HP,"Pavilion Plus 14-eh0001ci, OLED",639990.0,599990.0,6.25,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 2050,Intel,Core i7,1.7,16,SSD,0.0,512.0,14.0,2880 x 1800,WQ+,1.3
169122,ASUS,ROG Strix G15 G513RM,729990.0,699990.0,4.11,DOS,Both,AMD Radeon 680M,GeForce RTX 3060,AMD,Ryzen 7,3.2,16,SSD,0.0,512.0,15.6,2560 x 1440,QHD,2.2
169155,HP,17-cp2004ci,229990.0,199900.0,13.08,DOS,Integrated,AMD Radeon 610M,No,AMD,Ryzen 3,2.4,8,SSD,0.0,256.0,17.3,1600 x 900,HD+,2.0
169154,HP,17-cn2010ci,,,,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,512.0,17.3,1920 x 1080,Full HD,2.07
169158,HP,ENVY x360 15-ew0010ci,,,,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.1,16,SSD,0.0,1024.0,15.6,2560 x 1440,QHD,1.8
169159,HP,ENVY x360 15-ew0007ci,,,,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.1,16,SSD,0.0,1024.0,15.6,2560 x 1440,QHD,1.7
169157,HP,"ENVY x360 15-ew0009ci, OLED",,,,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.7,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
169170,HP,Victus 16-e1065ci,519990.0,489990.0,5.77,DOS,Both,AMD Radeon Graphics,GeForce RTX 3050,AMD,Ryzen 5,3.3,8,SSD,0.0,512.0,16.1,1920 x 1080,Full HD,2.3
169172,HP,Victus 16-e1056ci,529990.0,499990.0,5.66,DOS,Both,AMD Radeon Graphics,GeForce RTX 3050 Ti,AMD,Ryzen 5,3.3,8,SSD,0.0,512.0,16.1,1920 x 1080,Full HD,2.4
169063,ASUS,Vivobook S 16X M5602QA,,,,Windows 11 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.0,2560 x 1600,WQXGA,1.8
168871,Lenovo,IdeaPad 3 15IGL05,,,,DOS,Integrated,Intel UHD Graphics 605,No,Intel,Pentium Silver,1.1,4,SSD,0.0,256.0,15.6,1366 x 768,HD,1.5
